Sample ID	Feature name	ARA variant	ARZ variant	MSA	DA	Word order	Gender	English
4b	Negation	"Lam

Lam ylab (didn’t play)"	"Ma- + -sh

Ma-lab-sh"	لا تقول البنت الحقيقة	مبتقولش البنت الحقيقة	VSO	F	The girl is not saying the truth
4b	Negation	"Lam

Lam ylab (didn’t play)"	"Ma- + -sh

Ma-lab-sh"	الولد لا يقول الحقيقة	الولد مبيقولش الحقيقة	SVO	M	The boy is not saying the truth
4b	Negation	"Lam

Lam ylab (didn’t play)"	"Ma- + -sh

Ma-lab-sh"	البنت لا تقول الحقيقة	البنت مبتقولش الحقيقة	SVO	F	The boy is not saying the truth
5a	Negated imperative	"La

La tlab (Don’t play - masc)"	"Ma - + -sh

Ma-tlab-sh"	لا تقل الحقيقة	متقولش الحقيقة	VSO	M	Do not say (masc.) the truth
5a	Negated imperative	"La

La tlab (Don’t play - masc)"	"Ma - + -sh

Ma-tlab-sh"	لا تقولي الحقيقة	متقوليش الحقيقة	VSO	F	Do not say (fem.) the truth
5b	Negated imperative	"La

La tlab (Don’t play - masc)"	"Ma - + -sh

Ma-tlab-sh"	لا تقل الحقيقة	ماتقولش الحقيقة	VSO	M	Do not say (masc.) the truth
5b	Negated imperative	"La

La tlab (Don’t play - masc)"	"Ma - + -sh

Ma-tlab-sh"	لا تقولي الحقيقة	ماتقوليش الحقيقة	VSO	F	Do not say (fem.) the truth
TODO	Replacing short vowels with long ones in imperative form of hollow roots (ones having a vowel in the middle of the root) 	Ql (Say)	Qol	قل الحقيقة	قول الحقيقة	VSO	M	Say (masc.) the truth
TODO	Replacing short vowels with long ones in imperative form of hollow roots (ones having a vowel in the middle of the root) 	Ql (Say)	Qol	قلي الحقيقة	قولي الحقيقة	VSO	F	Say (fem.) the truth
TODO	"Letter substitution because of phonological differences
(9 rules in the paper)"	TODO	TODO	قال الولد الحقيقة	الولد ال الحئيئة	TODO	TODO	TODO
TODO	"Missing Dual form in verb inflection
(Not part of the paper)"	Ylab-an	"Ylab-o

How to control for having a single feature in a sentence?
For instance: avoiding the progressive suffix b-"	TODO	TODO	TODO	TODO	TODO
TODO	"Word Order preference
(Not part of the paper)"	"VSO or SVO
Ylab Amr "	"SVO
Amr Ylab"	قال الولد الحقيقة	الولد قال الحقيقة	TODO	TODO	The boy said the truth
TODO	"Word Order preference
(Not part of the paper)"	"VSO or SVO
Ylab Amr "	"SVO
Amr Ylab"	قالت البنت الحقيقة	البنت قالت الحقيقة	TODO	TODO	The girl said the truth
TODO	Dropping some articles and preposition in some syntactic constructs.	TODO	TODO	TODO	TODO	TODO	TODO	TODO
TODO	Single form of Five nouns	"Abu - Abe - Aba
Nom - Gen - Acc"	Abu	TODO	TODO	TODO	TODO	TODO
TODO	Common use of masculine plural or singular noun forms instead dual and feminine plural.	TODO	TODO	TODO	TODO	TODO	TODO	TODO
TODO	Merging verbs and prepositional phrases (to+personal pronoun)	Ylab laha (plays for her)	Ylablaha	TODO	TODO	TODO	TODO	TODO
